,Tweets,Subjectivity,Polarity,Analysis
23,"RT @MandarSawant184: BJP is such an autocratic dynastic party. Vajpayee's brother Advani was the PM candidate after him. After Advani, his…",0.5,0.0,Neutral
24,"RT @KapilSibal: Modi ji : Where are you ? 

Why :

No press conference ;
address to the nation ;
kind words for those who lost lives for la…",0.9,0.6,Positive
25,"RT @ciftlers76: Diktatörler her yerde aynıdır.
Hindistan lideri Neranda Modi , ülkesinde her gün binlerce kişi  maddi yetersizlik nedeniyle…",0.0,0.0,Neutral
26,RT @NavroopSingh_: Modi rallies in Kerala ??,0.0,0.0,Neutral
27,"RT @India_Policy: The Covid handling has made both, the Modi Govt and the Yogi Govt vulnerable.

For Modi Govt, there is still a lot of tim…",0.5,-0.5,Negative
28,"RT @Khan____INC: 👉Now how much Modi  will make India self-reliant

👉The daughter breathes her mother on her own, No longer can we become se…",0.6,0.4,Positive
29,RT @gvirkhtech: Modi only purpose is to serve his corporate friends not common people #FarmLawsAreNotReforms #मोदीजी_इस्तीफा_दो https://t.c…,0.5,0.049999999999999996,Positive
30,Tamil Nadu Covid lockdown news live: PM Modi speaks to CM MK Stalin on Covid-related situation in state… https://t.co/Ge7z95ImOa,0.5,0.13636363636363635,Positive
31,"RT @LoveSsrians: Justice For Sushant Singh Rajput @narendramodi @AmitShah @ips_nupurprasad 

#JusticeForSushantSinghRajput 

SSRians With N…",0.0,0.0,Neutral
32,RT @rohini_sgh: International shame,0.0,0.0,Neutral
33,Narendra Modi totally failed Prime Minister. #मोदीजी_इस्तीफा_दो,0.3,-0.5,Negative
34,RT @NarundarM: RT if you agree that death certificates too should have a photo of PM Modi.,0.0,0.0,Neutral
35,RT @INCIndia: The greatest tragedy is that all of this pain could have been avoided if only PM Modi had used the covid funds he took from t…,1.0,0.5,Positive
36,"@waglenikhil Modi ni kaye tujhe gavaat bamboo thakla?

😂😂😂😂😂😂😂",0.0,0.0,Neutral
37,"@ndtv Either you hate her or Love her , She successfully managing people to connect i.e comment on her.

Also all N… https://t.co/xWMH3BB8fA",0.8166666666666668,0.15,Positive
38,@SandeepChNews24 Nahi Modi je nahi to koe nah,0.0,0.0,Neutral
39,"RT @srivatsayb: 5 Rallies in Kerala, 7 Rallies in TN, 7 Rallies in Assam, 17 Rallies in Bengal

Has anyone seen PM Modi visit 1 Hospital? 1…",0.0,0.0,Neutral
40,RT @RoflGandhi_: शुक्र है अब STD कॉल के अलग से पैसे नहीं लगते। वर्ना टाइम के साथ पैसा भी खराब होता देश का।,0.0,0.0,Neutral
41,RT @NarundarM: RT if you agree that death certificates too should have a photo of PM Modi.,0.0,0.0,Neutral
42,RT @Sanzu_is_Back: #मोदीजी_इस्तीफा_दो This is Modi's new India👇👇👇 https://t.co/8GGBOAGCY4,0.45454545454545453,0.13636363636363635,Positive
43,"RT @Khan____INC: 👉Now how much Modi  will make India self-reliant

👉The daughter breathes her mother on her own, No longer can we become se…",0.6,0.4,Positive
44,RT @RoflGandhi_: शुक्र है अब STD कॉल के अलग से पैसे नहीं लगते। वर्ना टाइम के साथ पैसा भी खराब होता देश का।,0.0,0.0,Neutral
45,"RT @DaaruBaazMehta: Reading news of PM Modi calling CMs to discuss the COVID-19 situation?

PM Modi is now Scared of talking to CMs in a si…",0.0,0.0,Neutral
46,"RT @SarcasticRofl: YS Jagan bats for Narendra Modi and questions CM Hemant Soren

Exactly after 1 hour, SC adjourns case against YS Jagan…",0.25,0.25,Positive
47,"Laços e estirpes.
Esperemos que não lhe passe uma daquelas maradas que por lá habitam hoje em dia.

Não queremos qu… https://t.co/uvkBTANHP8",0.0,0.0,Neutral
48,"RT @srivatsayb: 5 Rallies in Kerala, 7 Rallies in TN, 7 Rallies in Assam, 17 Rallies in Bengal

Has anyone seen PM Modi visit 1 Hospital? 1…",0.0,0.0,Neutral
49,"RT @DrMasud01: 👉Now how much Modi  will make India self-reliant

👉The daughter breathes her mother on her own, No longer can we become self…",0.6,0.4,Positive
50,"@narendramodi ಏನಯ್ಯ, ನಿನ್ ಅವಸ್ಥೆ? ಅಂತರ್ರಾಷ್ಟ್ರೀಯ ಮಾಧ್ಯಮಗಳಲ್ಲಿ ಭಾರತದ ಮಾನ ಹರಾಜು ಹಾಕ್ತಿದ್ದೀಯಲ್ಲಪ್ಪ....",0.0,0.0,Neutral
